Row,Code,Industry Description,
1,1111,Oilseed farming,
2,1111,Grain farming,
3,111200,Vegetable and melon farming,
4,111300,Fruit and tree nut farming,
5,111400,"Greenhouse, nursery, and floriculture production",
6,111900,Other crop farming,
7,1121,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",
8,112120,Dairy cattle and milk production,
9,112,"Animal production, except cattle and poultry and eggs",
10,112300,Poultry and egg production,
11,113000,Forestry and logging,
12,114000,"Fishing, hunting and trapping",
13,115000,Support activities for agriculture and forestry,
14,211000,Oil and gas extraction,
15,212100,Coal mining,
16,2122,"Iron, gold, silver, and other metal ore mining",
17,212230,"Copper, nickel, lead, and zinc mining",
18,212310,Stone mining and quarrying,
19,2123,Other nonmetallic mineral mining and quarrying,
20,213111,Drilling oil and gas wells,
21,21311,Other support activities for mining,
22,221100,"Electric power generation, transmission, and distribution",
23,221200,Natural gas distribution,
24,221300,"Water, sewage and other systems",
25,230301,Nonresidential maintenance and repair,
26,230302,Residential maintenance and repair,
27,233210,Health care structures,
28,233230,Manufacturing structures,
29,233240,Power and communication structures,
30,233262,Educational and vocational structures,
31,233293,Highways and streets,
32,2332,"Commercial structures, including farm structures",
33,2332,Other nonresidential structures,
34,233411,Single-family residential structures,
35,233412,Multifamily residential structures,
36,2334,Other residential structures,
37,321100,Sawmills and wood preservation,
38,321200,"Veneer, plywood, and engineered wood product manufacturing",
39,321910,Millwork,
40,3219,All other wood product manufacturing,
41,327100,Clay product and refractory manufacturing,
42,327200,Glass and glass product manufacturing,
43,327310,Cement manufacturing,
44,327320,Ready-mix concrete manufacturing,
45,327330,"Concrete pipe, brick, and block manufacturing",
46,327390,Other concrete product manufacturing,
47,327400,Lime and gypsum product manufacturing,
48,327910,Abrasive product manufacturing,
49,327991,Cut stone and stone product manufacturing,
50,327992,Ground or treated mineral and earth manufacturing,
51,327993,Mineral wool manufacturing,
52,327999,Miscellaneous nonmetallic mineral products,
53,331110,Iron and steel mills and ferroalloy manufacturing,
54,331200,Steel product manufacturing from purchased steel,
55,331314,Secondary smelting and alloying of aluminum,*
56,33131,Aluminum product manufacturing from purchased aluminum,
57,331411,Primary smelting and refining of copper,
58,331419,Primary smelting and refining of nonferrous metal (except copper and aluminum),
59,331420,"Copper rolling, drawing, extruding and alloying",
60,331490,"Nonferrous metal (except copper and aluminum) rolling, drawing, extruding and alloying",
61,331510,Ferrous metal foundries,
62,331520,Nonferrous metal foundries,
63,33211,"All other forging, stamping, and sintering",
64,332114,Custom roll forming,
65,33211,Crown and closure manufacturing and metal stamping,
66,332200,Cutlery and handtool manufacturing,
67,332310,Plate work and fabricated structural product manufacturing,
68,332320,Ornamental and architectural metal products manufacturing,
69,332410,Power boiler and heat exchanger manufacturing,
70,332420,Metal tank (heavy gauge) manufacturing,
71,332430,"Metal can, box, and other metal container (light gauge) manufacturing",
72,332500,Hardware manufacturing,
73,332600,Spring and wire product manufacturing,
74,332710,Machine shops,
75,332720,"Turned product and screw, nut, and bolt manufacturing",
76,332800,"Coating, engraving, heat treating and allied activities",
77,33291,Valve and fittings other than plumbing,
78,332913,Plumbing fixture fitting and trim manufacturing,
79,332991,Ball and roller bearing manufacturing,
80,33299,"Ammunition, arms, ordnance, and accessories manufacturing",
81,332996,Fabricated pipe and pipe fitting manufacturing,
82,33299,Other fabricated metal manufacturing,
83,333111,Farm machinery and equipment manufacturing,
84,333112,Lawn and garden equipment manufacturing,
85,333120,Construction machinery manufacturing,
86,333130,Mining and oil and gas field machinery manufacturing,
87,33329,Other industrial machinery manufacturing,
88,333220,Plastics and rubber industry machinery manufacturing,
89,333295,Semiconductor machinery manufacturing,
90,33331,"Vending, commercial laundry, and other commercial and service industry machinery manufacturing",
91,333313,Office machinery manufacturing,
92,333314,Optical instrument and lens manufacturing,
